mentionType,mentions,man,bran,idx,x,y,surfaceBadge,surfaceName,surfaceLetter,Manufacturer,Brand
gevaert gevaluxe velours,"[{'words': 'the ultimate in enlarging papers, pictures you can feel as well as see', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'beautiful papers for those who demand the finest, unique in surface and tonal qualities', 'citation': 'Photography Annual, 1952, page 273', 'imgurl': 'scans/PhotographyAnnual_52_273.jpg'}, {'words': 'beautiful papers for those who demand the finest, unique in surface and tonal qualities', 'citation': 'Photography Annual, 1953, page 280', 'imgurl': 'scans/PhotographyAnnual_53_280.jpg'}, {'words': 'the photographic print becomes a work of art', 'citation': 'Popular Photography, April 1950, page 108', 'imgurl': 'scans/image00108.jpg'}, {'words': 'the photographic print becomes a work of art', 'citation': 'Popular Photography, May 1950, page 209', 'imgurl': 'scans/image00209.jpg'}, {'words': 'bromide, enlarging, slow, portrait, pictorial, warm tones, velour surface', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}, {'words': 'the photographic print becomes a work of art', 'citation': 'Popular Photography, November 1950, page 125', 'imgurl': 'scans/image00125.jpg'}, {'words': '...the choice of discriminating photographers everywhere...unique because of its surface, its tonal qualities.', 'citation': 'Popular Photography, December 1950, page 157', 'imgurl': 'scans/image00157.jpg'}, {'words': 'the photographic print becomes a work of art', 'citation': 'Popular Photography, February 1951, page 159', 'imgurl': 'scans/image00159.jpg'}, {'words': 'the photographic print becomes a work of art...unique surface and tonal qualities.', 'citation': 'Popular Photography, October 1951, page 113', 'imgurl': 'scans/image00113.jpg'}, {'words': 'Invariably specified by top photographers unique because of its surface, its tonal qualities.', 'citation': 'Popular Photography, November 1951, page 142', 'imgurl': 'scans/image00142.jpg'}, {'words': 'Chosen by the discriminating because of its unique surface and tonal qualities.', 'citation': 'Popular Photography, December 1951, page 275', 'imgurl': 'scans/image00275.jpg'}]",gevaert,gevaluxe velours,0,0,0,1,Gevaert velours,velours,Gevaert,Gevaluxe
gevaert artex,"[{'words': 'favorite of the professional and the pictorialist', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'interesting surface textures distinguish this exquisite chloro-bromide enlarging paper', 'citation': 'Photography Annual, 1952, page 273', 'imgurl': 'scans/PhotographyAnnual_52_273.jpg'}, {'words': 'interesting surface textures distinguish this exquisite chloro-bromide enlarging paper', 'citation': 'Photography Annual, 1953, page 280', 'imgurl': 'scans/PhotographyAnnual_53_280.jpg'}, {'words': 'The popular projection paper—wide range of full rich tones producing a crayon effect', 'citation': 'Photography Annual, 1954, page 247', 'imgurl': 'scans/PhotographyAnnual_54_247.jpg'}, {'words': 'A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variety of surfaces.', 'citation': 'Popular Photography, April 1950, page 108', 'imgurl': 'scans/image00108.jpg'}, {'words': 'A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variety of surfaces.', 'citation': 'Popular Photography, May 1950, page 209', 'imgurl': 'scans/image00209.jpg'}, {'words': 'A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variely of surfaces.', 'citation': 'Popular Photography, November 1950, page 125', 'imgurl': 'scans/image00125.jpg'}, {'words': '...chloro-bromide enlarging paper with a wide range of full, rich, warm tones...interesting surface textures...different.', 'citation': 'Popular Photography, December 1950, page 157', 'imgurl': 'scans/image00157.jpg'}, {'words': ""...warm-toned chloro-bromide paper with a 'crayon' effect, for portraits or salon prints. Three contrasts, a variety of surfaces"", 'citation': 'Popular Photography, February 1951, page 159', 'imgurl': 'scans/image00159.jpg'}, {'words': 'A warm-toned chloro-bromide paper with a “crayon” effect, for portrait or salon prints. Three contrasts, different surfaces.', 'citation': 'Popular Photography, October 1951, page 113', 'imgurl': 'scans/image00113.jpg'}, {'words': 'another favorite chlorobromide enlarging paper full, rich black tones...interesting surface textures.', 'citation': 'Popular Photography, November 1951, page 142', 'imgurl': 'scans/image00142.jpg'}, {'words': 'A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints.', 'citation': 'Popular Photography, December 1951, page 275', 'imgurl': 'scans/image00275.jpg'}]",gevaert,artex,1,1,0,0,,,Gevaert,Artex
gevaert tonex,"[{'words': 'a new, warm-toned paper, a chlorobromide ideally suited for toning', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'chloro-bromide paper which gives warm black to reddish tones by varying development', 'citation': 'Photography Annual, 1952, page 273', 'imgurl': 'scans/PhotographyAnnual_52_273.jpg'}, {'words': 'chloro-bromide paper which gives warm black to reddish tones by varying development', 'citation': 'Photography Annual, 1953, page 280', 'imgurl': 'scans/PhotographyAnnual_53_280.jpg'}, {'words': 'warm-toned portrait paper', 'citation': 'Popular Photography, April 1950, page 108', 'imgurl': 'scans/image00108.jpg'}, {'words': 'warm-toned portrait paper', 'citation': 'Popular Photography, May 1950, page 209', 'imgurl': 'scans/image00209.jpg'}, {'words': 'warm-toned portrait paper', 'citation': 'Popular Photography, November 1950, page 125', 'imgurl': 'scans/image00125.jpg'}, {'words': '...versatile, flexible chloro-bromide paper...warm black to reddish tones by varying the development.', 'citation': 'Popular Photography, December 1950, page 157', 'imgurl': 'scans/image00157.jpg'}, {'words': 'warm-toned portrait paper', 'citation': 'Popular Photography, February 1951, page 159', 'imgurl': 'scans/image00159.jpg'}, {'words': 'A flexible; versatile chloro-bromide paper...warm black to reddish tones by varying the development.', 'citation': 'Popular Photography, October 1951, page 113', 'imgurl': 'scans/image00113.jpg'}, {'words': 'Unusually versatile chloro-bromide warm blacks to reddish tones simply by varying the development.', 'citation': 'Popular Photography, November 1951, page 142', 'imgurl': 'scans/image00142.jpg'}, {'words': 'Versatile, flexible, chloro-bromide...warm black to reddish tones by varying the developer.', 'citation': 'Popular Photography, December 1951, page 275', 'imgurl': 'scans/image00275.jpg'}]",gevaert,tonex,2,2,0,0,,,Gevaert,Tonex
gevaert novabrom,"[{'words': 'the old standby of the press and commercial photographer as well as the amateur', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'bromide, enlarging, normal speed, photo murals', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,novabrom,3,3,0,0,,,Gevaert,Novabrom
gevaert bromoil,"[{'words': 'expressly created for the bromoil artist, takes ink superbly', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}]",gevaert,bromoil,4,4,0,0,,,Gevaert,Bromoil
gevaert larjex,"[{'words': 'for fast contact printing and photo-finishing', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'chloride, contact-enlarging, fast, oversize prints, optical printers, glossy', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,larjex,5,0,1,0,,,Gevaert,Larjex
gevaert multi-contrast,"[{'words': 'for rapid photo-finishing, wide contrast range', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'chloride, enlarging, fast, strip printers and optical printers', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,multi-contrast,6,1,1,0,,,Gevaert,Multi-Contrast
gevaert novagas,"[{'words': 'a contact paper of exceptional latitude and uniform tone', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}, {'words': 'chloride, contact, normal speed, wide latitude in printing, glossy surface', 'citation': 'Popular Photography, May 1950, page 140', 'imgurl': 'scans/image00140.jpg'}]",gevaert,novagas,7,2,1,0,,,Gevaert,Novagas
gevaert proof,"[{'words': 'both projection and P.O.P.', 'citation': 'Photography Annual, 1951, page 249', 'imgurl': 'scans/PhotographyAnnual_51_249.jpg'}]",gevaert,proof,8,3,1,0,,,Gevaert,Proof
kodak medalist,"[{'words': 'Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces—including glossy F, fine-grained lustre G, and sparkling high-lustre J—and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.', 'citation': 'Photography Annual, 1954, page 231', 'imgurl': 'scans/PhotographyAnnual_54_231.jpg'}, {'words': 'For finer prints,choose a paper that gives free rein to your skill—like the harpstrings under a musician’s hands...A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice—glossy, pure-white F, for finest detail and news-type prints; delicately-textured cream-white G, the all-around favorite, that helps subdue grain in big prints from small negatives; smooth, white, sparkling high-lustre J, superb for snow and water scenes; white, finely-textured E; and Medalist Y—cream white in a glittering silk-textured finish. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep.cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed. Let your Kodak dealer show you his sample book of Kodak Medalist Papers—make your choice—and you can begin enjoying finer prints today.', 'citation': 'Photography Annual, 1955, page 233', 'imgurl': 'scans/PhotographyAnnual_55_233.jpg'}, {'words': 'Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces—including glossy F, fine-grained lustre G, and sparkling high-lustre J—and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.', 'citation': 'Photography Annual, 1956, page 228', 'imgurl': 'scans/PhotographyAnnual_56_228.jpg'}, {'words': 'This new Kodak projection paper brings you an entirely new combination of desirable features. It has just the right degree of warmth to enhance the best qualities of the majority of your pictures. It has just the right speed to make its handling in the darkroom easy and pleasurable...and the speed of all four contrast grades is essentially the same. The big news, though, is in the outstanding flexibility of this new paper. By varying the ratio of exposure and development, contrasts can be sharply changed in the finished print without any degradation of the quality or tone. Long exposure and short development result in a soft print. Short exposure and prolonged development increase contrast in the print. This factor—with the four grades of contrast in which Kodak Medalist Paper will be available—means that you will now be able to obtain easily a completely graduated range of contrasts to match the requirements of any negative. Kodak Medalist Paper tones beautifully. Use Kodak Brown Toner, Kodak Sepia Toner, Kodak Blue Toner, hypo-alum, or Kodak Toner T-7a. Kodak Medalist Paper is available in four degrees of contrast and three surfaces.', 'citation': 'Popular Photography, November 1951, page 110', 'imgurl': 'scans/image00110.jpg'}, {'words': 'warmth, richness, high-speed, crispness', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'Kodak does not offer Medalist as a ‘‘universal’’ paper—but it does have a unique combination of fine qualities...rich warm blacks, excellenc printing speed, a full range of contrast grades all matched in speed, excellent choice of surfaces, excellent response to toning, and superior flexibilicy of contrast control by varying the ratio of exposure to development. This combination is no accident; it was evolved through long research because serious workers asked for just such a paper.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'For fast printing, fine warm-black tones, and great flexibility in manipulation.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'fine display prints required in quantity, speedy', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'Kodak Medalist—faster than Opal, warmer than Kodabromide, flexible in manipulation and contrast control, with four contrast grades and an excellent range of surface choices—has become the new sensation of the Kodak paper family.', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'For fast printing, fine warm-black tones, and great flexibility in manipulation', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be “tuned” to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces and printing grades Nos. 1 through 4. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades.', 'citation': 'Popular Photography, April 1953, page 80', 'imgurl': 'scans/image00080.jpg'}, {'words': 'chlorobromide, enlarging, fast, rich black tones; all-purpose enlarging paper for commercial, pictorial, and illustrative photography', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'richness, plus speed, plus flexibility of manipulation and contrast control, warm-black', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'for learning, easy-to-handle, a range of contrast grades, to fit both short-scale and long-scale negatives', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': '...warm-black tone that enhances the mood of most subjects...the high speed, uniform in all contrast grades...and the great flexibility of contrast control. Comes in a good range of textures and contrast grades, singleweight and doubleweight.', 'citation': 'Popular Photography, November 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'Infinite choice...with Kodak Medalist Paper. Choose an ordinary paper, and you’re stuck with a few rigid contrast grades. Maybe they match your negative—and maybe they don’t. But choose Kodak Medalist Paper, with its unique range of contrast control, and you have a continuous choice of grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. Here, at last, is a modern paper that can be tuned to match any good negative—match it precisely—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Medalist on direct development yields rich, clear warm blacks—just a hint warmer than the true neutral blacks of Kodabromide Paper. In Kodak Brown Toner, Medalist tones to a beautiful warm brown. In Kodak Selenium Toner, it yields rich, deep browns. In Kodak Blue Toner, it acquires gray-blue tones. Several popular surfaces. And it’s a high-speed paper—with the same effective printing speed for all four contrast grades. In brief, it is the most remarkable photographic paper in many years. If you are seeking a finer medium for your work—if you have not yet discovered what Kodak Medalist Paper can do for you.', 'citation': 'Popular Photography, January 1954, page 62', 'imgurl': 'scans/image00062.jpg'}, {'words': ""You'll print them easier, and better, and bigger with Kodak Medalist Paper. YOU get better enlargements, with less work, when you use Kodak Medalist Paper. Medalist brings you quality—rich blacks, clear sparkling whites, a full range of crisp middle tones. Medalist has the right speed—fast enough for rapid print production—yet gives you adequate time for proper dodging and manipulation. Medalist is easy to handle—rugged, and uniform in response from sheet to sheet. Medalist is precise—its responsiveness to contrast control enables you to match each negative perfectly, for top print quality. Medalist is flexible—lets you choose between soft-tone, normal-range, or brilliant-contrast prints from the same negative—simply by varying the exposure and development time. Medalist is versatile—can be after-toned to a warm brown or beautiful blue grays...gives you five surface choices, to match the mood of each subject. And Medalist is convenient—because all its contrast grades, 1 through 4, are closely related in exposure speed."", 'citation': 'Popular Photography, February 1954, page 70', 'imgurl': 'scans/image00070 (2).jpg'}, {'words': ""...it’s wise to start with one basic paper you can rely on for consistently good results. We suggest Kodak Medalist Paper. You'll find Medalist is an easy paper to use because it offers such wide latitude in printing and developing time. It gives you the quality you want; rich warm blacks, clear sparkling whites, a full range of crisp middle tones. Medalist is easy to handle, a rugged paper that’s uniform in response from sheet to sheet. It’s fast enough to get out a lot of prints in an evening, yet allows plenty of time for dodging and manipulating."", 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'A flexible paper, ready at your will, to be now soft and delicate...now powerful, deep-toned...In Kodak Medalist Paper, you can enjoy a printing medium worthy of your finest camera work. It is a rich, full-scale paper, with powerful blacks, clear sparkling whites, a full range of crisp middle tones. It is a flexible-contrast paper, responsive to manipulation, responsive to toning, ample in speed, dependable in performance, available in a liberal choice of surface types to match the mood and feeling of each scene. And it is a paper the beginner can use without problems, and the expert can explore with growing pleasure over the years. Flexible contrast. Choose Medalist, with its built-in contrast control, and you have a continuous choice of paper grades, from below No. 1 to above No. 4. Simply by adjusting the ratio of exposure and development time ! Each of Medalist’s four numbered grades can be adjusted up or down—softer or more brilliant—to where the adjoining grades take over. With this control, you can precisely match the paper to any good negative—for top quality in every print. And you can choose freely between soft, normal, and brilliant prints from the same negative—for the exact mood and interpretation you desire. Surface-wise, Medalist gives you liberal choice. And as for image tone—by choice of developer and toners, you can range from warm blacks, warm browns and brown-blacks, to deep cool blacks and delicate, atmospheric blue-grays. The speed is right, for convenience in dodging and manipulation—and all four grades are closely related in printing speed.', 'citation': 'Popular Photography, April 1954, page 218', 'imgurl': 'scans/image00218.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,medalist,9,4,1,0,,,Kodak,Medalist
