idx,Manufacturer,Brand,surfaceLetter,pstatus,words,citation,imgurl
0,Gevaert,Gevaluxe,velours,notp,"the ultimate in enlarging papers, pictures you can feel as well as see","Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
0,Gevaert,Gevaluxe,velours,notp,"beautiful papers for those who demand the finest, unique in surface and tonal qualities","Photography Annual, 1952, page 273",scans/PhotographyAnnual_52_273.jpg
0,Gevaert,Gevaluxe,velours,notp,"beautiful papers for those who demand the finest, unique in surface and tonal qualities","Photography Annual, 1953, page 280",scans/PhotographyAnnual_53_280.jpg
0,Gevaert,Gevaluxe,velours,notp,the photographic print becomes a work of art,"Popular Photography, April 1950, page 108",scans/image00108.jpg
0,Gevaert,Gevaluxe,velours,notp,the photographic print becomes a work of art,"Popular Photography, May 1950, page 209",scans/image00209.jpg
0,Gevaert,Gevaluxe,velours,notp,"bromide, enlarging, slow, portrait, pictorial, warm tones, velour surface","Popular Photography, May 1950, page 140",scans/image00140.jpg
0,Gevaert,Gevaluxe,velours,notp,the photographic print becomes a work of art,"Popular Photography, November 1950, page 125",scans/image00125.jpg
0,Gevaert,Gevaluxe,velours,notp,"...the choice of discriminating photographers everywhere...unique because of its surface, its tonal qualities.","Popular Photography, December 1950, page 157",scans/image00157.jpg
0,Gevaert,Gevaluxe,velours,notp,the photographic print becomes a work of art,"Popular Photography, February 1951, page 159",scans/image00159.jpg
0,Gevaert,Gevaluxe,velours,notp,the photographic print becomes a work of art...unique surface and tonal qualities.,"Popular Photography, October 1951, page 113",scans/image00113.jpg
0,Gevaert,Gevaluxe,velours,notp,"Invariably specified by top photographers unique because of its surface, its tonal qualities.","Popular Photography, November 1951, page 142",scans/image00142.jpg
0,Gevaert,Gevaluxe,velours,notp,Chosen by the discriminating because of its unique surface and tonal qualities.,"Popular Photography, December 1951, page 275",scans/image00275.jpg
1,Gevaert,Artex,,pmeasured,favorite of the professional and the pictorialist,"Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
1,Gevaert,Artex,,pmeasured,interesting surface textures distinguish this exquisite chloro-bromide enlarging paper,"Photography Annual, 1952, page 273",scans/PhotographyAnnual_52_273.jpg
1,Gevaert,Artex,,pmeasured,interesting surface textures distinguish this exquisite chloro-bromide enlarging paper,"Photography Annual, 1953, page 280",scans/PhotographyAnnual_53_280.jpg
1,Gevaert,Artex,,pmeasured,The popular projection paper—wide range of full rich tones producing a crayon effect,"Photography Annual, 1954, page 247",scans/PhotographyAnnual_54_247.jpg
1,Gevaert,Artex,,pmeasured,"A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variety of surfaces.","Popular Photography, April 1950, page 108",scans/image00108.jpg
1,Gevaert,Artex,,pmeasured,"A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variety of surfaces.","Popular Photography, May 1950, page 209",scans/image00209.jpg
1,Gevaert,Artex,,pmeasured,"A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints. Three contrasts, a variely of surfaces.","Popular Photography, November 1950, page 125",scans/image00125.jpg
1,Gevaert,Artex,,pmeasured,"...chloro-bromide enlarging paper with a wide range of full, rich, warm tones...interesting surface textures...different.","Popular Photography, December 1950, page 157",scans/image00157.jpg
1,Gevaert,Artex,,pmeasured,"...warm-toned chloro-bromide paper with a 'crayon' effect, for portraits or salon prints. Three contrasts, a variety of surfaces","Popular Photography, February 1951, page 159",scans/image00159.jpg
1,Gevaert,Artex,,pmeasured,"A warm-toned chloro-bromide paper with a “crayon” effect, for portrait or salon prints. Three contrasts, different surfaces.","Popular Photography, October 1951, page 113",scans/image00113.jpg
1,Gevaert,Artex,,pmeasured,"another favorite chlorobromide enlarging paper full, rich black tones...interesting surface textures.","Popular Photography, November 1951, page 142",scans/image00142.jpg
1,Gevaert,Artex,,pmeasured,"A warm-toned chloro-bromide paper with a “crayon” effect, for portraits or salon prints.","Popular Photography, December 1951, page 275",scans/image00275.jpg
2,Gevaert,Tonex,,notp,"a new, warm-toned paper, a chlorobromide ideally suited for toning","Photography Annual, 1951, page 249",scans/PhotographyAnnual_51_249.jpg
2,Gevaert,Tonex,,notp,chloro-bromide paper which gives warm black to reddish tones by varying development,"Photography Annual, 1952, page 273",scans/PhotographyAnnual_52_273.jpg
2,Gevaert,Tonex,,notp,chloro-bromide paper which gives warm black to reddish tones by varying development,"Photography Annual, 1953, page 280",scans/PhotographyAnnual_53_280.jpg
2,Gevaert,Tonex,,notp,warm-toned portrait paper,"Popular Photography, April 1950, page 108",scans/image00108.jpg
